publication_year,subfield_id,subfield_display_name,count,citation_count,country_code,total,percentage
2023,subfields/1708,Hardware and Architecture,487,636,IN,38306,1.2713413042343236
2023,subfields/1704,Computer Graphics and Computer-Aided Design,112,101,IN,38306,0.2923823944029656
2022,subfields/1707,Computer Vision and Pattern Recognition,6578,36137,IN,34302,19.176724389248438
2022,subfields/1710,Information Systems,6428,34311,IN,34302,18.73943210308437
2022,subfields/1703,Computational Theory and Mathematics,2270,10648,IN,34302,6.617689930616291
2022,subfields/1702,Artificial Intelligence,8737,54461,IN,34302,25.47081802810332
2022,subfields/1705,Computer Networks and Communications,6441,37772,IN,34302,18.777330767885257
2022,subfields/1706,Computer Science Applications,562,3051,IN,34302,1.63838843216139
2022,subfields/1712,Software,223,694,IN,34302,0.6501078654305871
2022,subfields/1711,Signal Processing,1796,7122,IN,34302,5.235846306337823
2022,subfields/1709,Human-Computer Interaction,669,6786,IN,34302,1.9503235962917613
2022,subfields/1708,Hardware and Architecture,503,1460,IN,34302,1.4663867996035216
2022,subfields/1704,Computer Graphics and Computer-Aided Design,95,159,IN,34302,0.2769517812372457
2021,subfields/1707,Computer Vision and Pattern Recognition,6256,49207,IN,30348,20.614208514564385
2021,subfields/1710,Information Systems,5174,41261,IN,30348,17.048899433241072
2021,subfields/1703,Computational Theory and Mathematics,2141,17105,IN,30348,7.054830631343087
2021,subfields/1702,Artificial Intelligence,7432,62487,IN,30348,24.489257941215236
2021,subfields/1705,Computer Networks and Communications,6011,51228,IN,30348,19.806906550678793
2021,subfields/1706,Computer Science Applications,500,3308,IN,30348,1.6475550283379463
2021,subfields/1712,Software,241,938,IN,30348,0.7941215236588903
2021,subfields/1711,Signal Processing,1486,9133,IN,30348,4.896533544220377
2021,subfields/1709,Human-Computer Interaction,521,4052,IN,30348,1.71675233952814
2021,subfields/1708,Hardware and Architecture,479,1911,IN,30348,1.5783577171477527
2021,subfields/1704,Computer Graphics and Computer-Aided Design,107,328,IN,30348,0.35257677606432053
2020,subfields/1707,Computer Vision and Pattern Recognition,5228,58804,IN,26229,19.93213618513859
2020,subfields/1710,Information Systems,4525,51290,IN,26229,17.251896755499637
2020,subfields/1703,Computational Theory and Mathematics,1882,24101,IN,26229,7.175264020740402
2020,subfields/1702,Artificial Intelligence,6502,77999,IN,26229,24.789355293758817
2020,subfields/1705,Computer Networks and Communications,5228,60421,IN,26229,19.93213618513859
2020,subfields/1706,Computer Science Applications,357,4299,IN,26229,1.3610888710968776
2020,subfields/1712,Software,221,907,IN,26229,0.8425788249647338
2020,subfields/1711,Signal Processing,1372,11170,IN,26229,5.230851347744863
2020,subfields/1709,Human-Computer Interaction,375,3627,IN,26229,1.4297152007320142
2020,subfields/1708,Hardware and Architecture,460,3317,IN,26229,1.7537839795646042
2020,subfields/1704,Computer Graphics and Computer-Aided Design,79,210,IN,26229,0.30119333562087763
2019,subfields/1707,Computer Vision and Pattern Recognition,4647,52615,IN,23080,20.13431542461005
2019,subfields/1710,Information Systems,3873,42444,IN,23080,16.780762564991335
2019,subfields/1703,Computational Theory and Mathematics,1509,11470,IN,23080,6.538128249566724
2019,subfields/1702,Artificial Intelligence,5205,64274,IN,23080,22.55199306759099
2019,subfields/1705,Computer Networks and Communications,5177,61366,IN,23080,22.430675909878683
2019,subfields/1706,Computer Science Applications,289,2343,IN,23080,1.252166377816291
2019,subfields/1712,Software,240,1833,IN,23080,1.0398613518197575
2019,subfields/1711,Signal Processing,1271,12946,IN,23080,5.506932409012132
2019,subfields/1709,Human-Computer Interaction,341,3991,IN,23080,1.477469670710572
2019,subfields/1708,Hardware and Architecture,476,3026,IN,23080,2.062391681109186
2019,subfields/1704,Computer Graphics and Computer-Aided Design,52,140,IN,23080,0.22530329289428075
2018,subfields/1707,Computer Vision and Pattern Recognition,4818,56710,IN,23519,20.485564862451636
2018,subfields/1710,Information Systems,4053,39564,IN,23519,17.23287554742974
2018,subfields/1703,Computational Theory and Mathematics,1460,13656,IN,23519,6.207746928015647
2018,subfields/1702,Artificial Intelligence,5204,71273,IN,23519,22.126791105063994
2018,subfields/1705,Computer Networks and Communications,5264,60146,IN,23519,22.381903992516687
2018,subfields/1706,Computer Science Applications,293,2473,IN,23519,1.2458012670606744
2018,subfields/1712,Software,264,1881,IN,23519,1.1224967047918704
2018,subfields/1711,Signal Processing,1337,12047,IN,23519,5.684765508737617
2018,subfields/1709,Human-Computer Interaction,296,3213,IN,23519,1.2585569114333093
2018,subfields/1708,Hardware and Architecture,464,2590,IN,23519,1.972872996300863
2018,subfields/1704,Computer Graphics and Computer-Aided Design,66,293,IN,23519,0.2806241761979676
2017,subfields/1707,Computer Vision and Pattern Recognition,4298,69196,IN,21172,20.30039675042509
2017,subfields/1710,Information Systems,3589,31146,IN,21172,16.951634233893824
2017,subfields/1703,Computational Theory and Mathematics,1385,12111,IN,21172,6.541658794634422
2017,subfields/1702,Artificial Intelligence,4374,55510,IN,21172,20.65936142074438
2017,subfields/1705,Computer Networks and Communications,4908,60733,IN,21172,23.18156055167202
2017,subfields/1706,Computer Science Applications,242,1852,IN,21172,1.143019081806159
2017,subfields/1712,Software,276,2353,IN,21172,1.303608539580578
2017,subfields/1711,Signal Processing,1256,10214,IN,21172,5.932363498960892
2017,subfields/1709,Human-Computer Interaction,319,3384,IN,21172,1.5067069714717551
2017,subfields/1708,Hardware and Architecture,470,3333,IN,21172,2.2199130927640276
2017,subfields/1704,Computer Graphics and Computer-Aided Design,55,174,IN,21172,0.25977706404685436
2016,subfields/1707,Computer Vision and Pattern Recognition,3925,44931,IN,19562,20.064410591964013
2016,subfields/1710,Information Systems,3293,28942,IN,19562,16.833657090277068
2016,subfields/1703,Computational Theory and Mathematics,1315,13574,IN,19562,6.7222165422758415
2016,subfields/1702,Artificial Intelligence,3862,47520,IN,19562,19.742357632143953
2016,subfields/1705,Computer Networks and Communications,4659,52883,IN,19562,23.816583171454862
2016,subfields/1706,Computer Science Applications,202,1708,IN,19562,1.0326142521214599
2016,subfields/1712,Software,281,2040,IN,19562,1.4364584398323281
2016,subfields/1711,Signal Processing,1233,10254,IN,19562,6.303036499335446
2016,subfields/1709,Human-Computer Interaction,276,3856,IN,19562,1.4108986811164503
2016,subfields/1708,Hardware and Architecture,462,2480,IN,19562,2.3617217053471014
2016,subfields/1704,Computer Graphics and Computer-Aided Design,54,374,IN,19562,0.2760453941314794
2015,subfields/1707,Computer Vision and Pattern Recognition,3625,41770,IN,17537,20.670582197639277
2015,subfields/1710,Information Systems,2746,25725,IN,17537,15.658322404059987
2015,subfields/1703,Computational Theory and Mathematics,1234,12179,IN,17537,7.036551291554997
2015,subfields/1702,Artificial Intelligence,3470,46853,IN,17537,19.786736614016082
2015,subfields/1705,Computer Networks and Communications,4187,46231,IN,17537,23.875235216969834
2015,subfields/1706,Computer Science Applications,175,2043,IN,17537,0.9978901750584478
2015,subfields/1712,Software,275,1957,IN,17537,1.568113132234704
2015,subfields/1711,Signal Processing,1095,9436,IN,17537,6.243941381080003
2015,subfields/1709,Human-Computer Interaction,220,2538,IN,17537,1.254490505787763
2015,subfields/1708,Hardware and Architecture,451,2950,IN,17537,2.571705536864914
2015,subfields/1704,Computer Graphics and Computer-Aided Design,59,381,IN,17537,0.336431544733991
